Thailand Household Debt,,,,,
Year,Bangkok,Central_Region,North_Region,Northeast_Region,South_Region
2545,324398.44,4208550.33,1883755.88,2500592.28,2106315.02
2547,321551.83,5420588.79,3196279.51,3210899.35,2588817.64
2549,316118.00,5631524.00,3668557.00,3809593.00,2896767.00
2550,310791.00,5683345.00,3728492.00,3928145.00,3286014.00
2552,415331.00,7094827.00,3936418.00,4459871.00,3278415.00
2554,437483.00,5782370.20,4133496.90,5269778.20,3152388.90
2556,551153.50,8121843.20,4984782.30,5454954.00,3828860.40
2558,329411.20,7491539.50,5462834.10,6345298.20,4448234.70
2560,405399.69,8553453.12,6036894.04,7137562.32,4591135.11
